studentid,cohorttermindex,pathway,creditsearned,collegecreditsearned,collegecreditsattempted
152,1,3,6,6,6
152,2,99,,,
152,3,99,,,
152,4,99,,,
152,5,99,,,
152,6,99,,,
153,1,2,9,9,9
153,2,2,9,9,9
153,3,100,,,
153,4,100,,,
153,5,100,,,
153,6,100,,,
157,1,1,6,6,6
157,2,1,15,15,15
157,3,1,3,3,6
157,4,1,9,9,9
157,5,1,12,12,12
157,6,1,12,12,12
165,1,3,12,12,12
165,2,99,,,
165,3,99,,,
165,4,99,,,
165,5,99,,,
165,6,99,,,
166,1,1,12,9,9
166,2,1,3,3,3
166,3,1,12,12,12
166,4,1,6,6,6
166,5,1,6,6,6
166,6,99,,,
167,1,2,15,15,15
167,2,2,9,9,9
167,3,2,3,0,0
167,4,99,,,
167,5,99,,,
167,6,99,,,
169,1,2,12,12,15
169,2,2,12,12,12
169,3,2,15,15,15
169,4,2,12,12,15
169,5,100,,,
169,6,100,,,
174,1,4,6,6,9
174,2,4,15,15,15
174,3,4,12,12,15
174,4,4,9,9,9
174,5,4,12,12,12
174,6,4,15,15,18
183,1,2,18,18,18
183,2,2,15,15,15
183,3,2,12,12,12
183,4,2,15,15,15
183,5,2,12,12,12
183,6,101,,,
185,1,1,3,3,6
185,2,1,3,3,3
185,3,99,,,
185,4,99,,,
185,5,99,,,
185,6,99,,,
199,1,1,3,3,3
199,2,1,9,9,9
199,3,100,,,
199,4,100,,,
199,5,100,,,
199,6,100,,,
200,1,2,6,6,6
200,2,2,3,3,3
200,3,2,12,12,12
200,4,2,3,3,6
200,5,99,,,
200,6,99,,,
205,1,4,6,6,6
205,2,4,3,3,6
205,3,4,12,12,15
205,4,4,6,6,6
205,5,100,,,
205,6,100,,,
220,1,2,6,6,6
220,2,2,3,3,3
220,3,99,,,
220,4,99,,,
220,5,99,,,
220,6,99,,,
224,1,3,3,3,3
224,2,99,,,
224,3,99,,,
224,4,99,,,
224,5,99,,,
224,6,99,,,
227,1,4,12,12,12
227,2,4,6,6,6
227,3,4,3,3,3
227,4,4,12,12,12
227,5,4,12,12,15
227,6,99,,,
230,1,1,12,12,12
230,2,1,15,15,15
230,3,1,9,9,9
230,4,1,9,9,9
230,5,1,6,6,6
230,6,100,,,
236,1,2,6,3,3
236,2,2,12,12,12
236,3,2,6,6,6
236,4,2,15,15,15
236,5,2,6,6,9
236,6,2,12,12,12
237,1,4,12,12,12
237,2,4,12,12,12
237,3,4,9,9,9
237,4,4,15,15,15
237,5,4,15,15,15
237,6,101,,,
242,1,4,12,12,12
242,2,4,6,6,6
242,3,4,12,12,12
242,4,4,15,15,15
242,5,4,15,12,12
242,6,99,,,
245,1,2,18,18,18
245,2,2,18,18,18
245,3,101,,,
245,4,101,,,
245,5,101,,,
245,6,101,,,
246,1,3,18,18,18
246,2,3,18,18,18
246,3,101,,,
246,4,101,,,
246,5,101,,,
246,6,101,,,
253,1,3,9,9,9
253,2,3,9,9,9
253,3,99,,,
253,4,99,,,
253,5,99,,,
253,6,99,,,
259,1,4,12,12,12
259,2,4,9,9,9
259,3,4,9,9,9
259,4,99,,,
259,5,99,,,
259,6,99,,,
261,1,2,9,9,12
261,2,2,9,9,9
261,3,2,15,15,15
261,4,2,12,12,12
261,5,2,9,9,9
261,6,100,,,
264,1,1,3,3,6
264,2,1,9,9,9
264,3,1,15,15,15
264,4,1,6,6,6
264,5,99,,,
264,6,99,,,
267,1,1,12,12,12
267,2,1,15,15,15
267,3,1,6,6,6
267,4,1,9,9,12
267,5,1,3,3,3
267,6,1,9,9,9
275,1,1,9,9,9
275,2,1,9,9,9
275,3,100,,,
275,4,100,,,
275,5,100,,,
275,6,100,,,
277,1,4,3,3,6
277,2,4,15,15,18
277,3,4,9,9,9
277,4,4,3,3,6
277,5,99,,,
277,6,99,,,
281,1,2,9,9,9
281,2,2,3,3,3
281,3,2,6,6,6
281,4,2,3,3,3
281,5,99,,,
281,6,99,,,
282,1,1,3,3,3
282,2,1,6,6,6
282,3,1,9,9,9
282,4,1,3,3,6
282,5,1,15,15,15
282,6,99,,,
284,1,4,3,3,3
284,2,4,3,3,6
284,3,4,6,6,6
284,4,99,,,
284,5,99,,,
284,6,99,,,
287,1,3,15,15,15
287,2,3,9,9,12
287,3,3,15,15,15
287,4,2,12,9,9
287,5,2,9,9,9
287,6,101,,,
294,1,1,15,15,18
294,2,1,15,15,15
294,3,99,,,
294,4,99,,,
294,5,99,,,
294,6,99,,,
295,1,4,3,3,3
295,2,4,9,9,9
295,3,4,3,3,3
295,4,4,12,12,12
295,5,4,12,12,15
295,6,99,,,
303,1,4,6,6,9
303,2,4,6,6,6
303,3,4,9,9,12
303,4,4,3,3,3
303,5,99,,,
303,6,99,,,
306,1,3,18,15,15
306,2,3,18,18,18
306,3,3,18,18,21
306,4,101,,,
306,5,101,,,
306,6,101,,,
315,1,2,3,0,0
315,2,2,3,3,3
315,3,2,15,15,15
315,4,99,,,
315,5,99,,,
315,6,99,,,
322,1,1,12,12,12
322,2,1,6,6,6
322,3,1,6,3,3
322,4,1,9,6,6
322,5,1,6,6,6
322,6,100,,,
328,1,1,12,12,12
328,2,1,12,9,9
328,3,1,15,15,15
328,4,1,15,15,18
328,5,1,18,18,18
328,6,101,,,
331,1,4,3,3,3
331,2,4,15,15,18
331,3,4,6,6,6
331,4,4,15,15,18
331,5,99,,,
331,6,99,,,
332,1,2,9,9,9
332,2,2,15,15,18
332,3,2,12,12,12
332,4,2,15,15,15
332,5,99,,,
332,6,99,,,
335,1,4,15,15,15
335,2,4,6,6,6
335,3,4,6,6,6
335,4,4,6,6,9
335,5,4,9,9,9
335,6,99,,,
337,1,4,15,15,15
337,2,4,6,6,6
337,3,4,12,12,12
337,4,4,3,3,3
337,5,99,,,
337,6,99,,,
340,1,4,9,9,9
340,2,4,9,9,9
340,3,99,,,
340,4,99,,,
340,5,99,,,
340,6,99,,,
341,1,4,3,3,3
341,2,4,9,9,9
341,3,4,12,12,12
341,4,100,,,
341,5,100,,,
341,6,100,,,
346,1,4,9,9,9
346,2,4,15,15,18
346,3,99,,,
346,4,99,,,
346,5,99,,,
346,6,99,,,
347,1,3,9,9,12
347,2,3,6,6,6
347,3,3,15,15,18
347,4,99,,,
347,5,99,,,
347,6,99,,,
348,1,2,6,6,6
348,2,2,9,9,9
348,3,2,15,15,15
348,4,2,3,3,3
348,5,2,15,15,15
348,6,99,,,
360,1,1,12,9,9
360,2,1,12,12,12
360,3,1,12,12,12
360,4,1,9,9,9
360,5,99,,,
360,6,99,,,
364,1,1,3,3,3
364,2,1,9,9,9
364,3,1,9,9,9
364,4,1,12,12,12
364,5,1,3,3,6
364,6,99,,,
375,1,1,3,0,0
375,2,1,9,9,9
375,3,100,,,
375,4,100,,,
375,5,100,,,
375,6,100,,,
387,1,2,12,12,15
387,2,2,6,6,9
387,3,2,15,15,15
387,4,99,,,
387,5,99,,,
387,6,99,,,
388,1,2,18,18,18
388,2,2,15,15,15
388,3,2,15,15,15
388,4,2,18,18,18
388,5,101,,,
388,6,101,,,
389,1,3,15,15,15
389,2,3,15,15,15
389,3,3,9,9,12
389,4,99,,,
389,5,99,,,
389,6,99,,,
398,1,1,15,15,15
398,2,1,6,6,6
398,3,1,12,12,15
398,4,1,9,9,9
398,5,1,6,6,6
398,6,99,,,
399,1,3,12,12,12
399,2,3,15,15,15
399,3,3,15,15,15
399,4,3,12,12,12
399,5,3,18,15,15
399,6,101,,,
404,1,4,15,15,15
404,2,4,12,12,12
404,3,4,6,6,6
404,4,100,,,
404,5,100,,,
404,6,100,,,
406,1,2,9,9,9
406,2,99,,,
406,3,99,,,
406,4,99,,,
406,5,99,,,
406,6,99,,,
407,1,1,3,3,3
407,2,1,9,9,9
407,3,1,12,12,12
407,4,1,6,6,6
407,5,1,9,9,9
407,6,99,,,
408,1,1,12,12,15
408,2,1,12,12,12
408,3,1,15,15,15
408,4,1,9,9,9
408,5,1,9,9,9
408,6,100,,,
414,1,4,3,3,3
414,2,4,9,9,9
414,3,4,3,3,3
414,4,4,6,6,6
414,5,4,12,12,15
414,6,99,,,
427,1,2,3,3,6
427,2,2,3,3,3
427,3,2,12,12,12
427,4,2,6,6,9
427,5,2,15,15,15
427,6,99,,,
429,1,2,9,6,6
429,2,2,3,3,3
429,3,100,,,
429,4,100,,,
429,5,100,,,
429,6,100,,,
430,1,4,12,12,12
430,2,4,15,15,15
430,3,4,3,3,3
430,4,4,6,6,6
430,5,4,12,12,12
430,6,99,,,
432,1,2,15,15,15
432,2,99,,,
432,3,99,,,
432,4,99,,,
432,5,99,,,
432,6,99,,,
442,1,4,15,15,15
442,2,4,6,6,6
442,3,4,12,12,12
442,4,4,3,3,3
442,5,99,,,
442,6,99,,,
456,1,4,15,12,15
456,2,4,12,12,12
456,3,99,,,
456,4,99,,,
456,5,99,,,
456,6,99,,,
458,1,3,6,6,6
458,2,3,9,9,9
458,3,3,9,9,9
458,4,3,9,9,9
458,5,100,,,
458,6,100,,,
460,1,1,3,3,3
460,2,1,3,3,3
460,3,1,9,9,9
460,4,99,,,
460,5,99,,,
460,6,99,,,
463,1,2,6,3,3
463,2,2,6,6,6
463,3,2,9,9,9
463,4,100,,,
463,5,100,,,
463,6,100,,,
471,1,2,12,12,12
471,2,2,12,12,12
471,3,2,18,18,18
471,4,2,12,9,12
471,5,2,15,15,15
471,6,101,,,
472,1,4,12,12,12
472,2,4,3,3,6
472,3,4,6,6,9
472,4,4,6,3,6
472,5,100,,,
472,6,100,,,
474,1,3,9,9,9
474,2,3,9,9,9
474,3,3,9,9,9
474,4,3,12,12,12
474,5,100,,,
474,6,100,,,
480,1,3,9,9,12
480,2,3,9,9,9
480,3,3,15,15,18
480,4,3,6,6,6
480,5,99,,,
480,6,99,,,
484,1,2,12,12,15
484,2,2,12,9,9
484,3,2,6,6,9
484,4,2,15,15,15
484,5,2,3,3,3
484,6,99,,,
518,1,2,15,12,15
518,2,2,3,3,3
518,3,2,9,9,9
518,4,2,12,12,15
518,5,99,,,
518,6,99,,,
520,1,1,6,6,6
520,2,1,6,6,9
520,3,1,9,9,9
520,4,1,15,15,15
520,5,1,9,9,12
520,6,99,,,
521,1,2,6,6,6
521,2,2,3,3,3
521,3,2,6,6,6
521,4,2,6,6,6
521,5,2,15,15,18
521,6,99,,,
522,1,2,3,3,3
522,2,2,15,15,15
522,3,2,3,3,3
522,4,2,12,12,12
522,5,100,,,
522,6,100,,,
525,1,2,6,6,6
525,2,2,12,12,12
525,3,2,12,12,12
525,4,2,15,15,18
525,5,2,15,15,15
525,6,100,,,
527,1,3,12,12,12
527,2,3,15,15,18
527,3,3,15,15,15
527,4,3,9,9,9
527,5,100,,,
527,6,100,,,
528,1,2,6,6,6
528,2,2,6,6,6
528,3,2,15,15,15
528,4,2,15,15,15
528,5,99,,,
528,6,99,,,
532,1,2,6,6,6
532,2,2,9,9,9
532,3,99,,,
532,4,99,,,
532,5,99,,,
532,6,99,,,
537,1,3,6,6,6
537,2,3,9,9,9
537,3,3,9,9,9
537,4,99,,,
537,5,99,,,
537,6,99,,,
545,1,3,12,12,12
545,2,3,9,6,6
545,3,3,15,15,15
545,4,2,9,9,9
545,5,2,9,9,9
545,6,99,,,
546,1,4,9,6,6
546,2,4,12,12,12
546,3,4,15,15,15
546,4,100,,,
546,5,100,,,
546,6,100,,,
550,1,2,12,12,15
550,2,2,3,3,3
550,3,99,,,
550,4,99,,,
550,5,99,,,
550,6,99,,,
553,1,4,12,12,12
553,2,4,15,15,15
553,3,4,15,15,15
553,4,4,18,18,18
553,5,101,,,
553,6,101,,,
558,1,4,3,3,3
558,2,4,12,12,12
558,3,4,12,12,12
558,4,99,,,
558,5,99,,,
558,6,99,,,
562,1,4,15,15,15
562,2,4,12,12,12
562,3,4,15,15,15
562,4,4,3,3,3
562,5,4,9,9,12
562,6,99,,,
563,1,4,3,3,3
563,2,4,15,15,18
563,3,4,15,15,18
563,4,4,6,6,6
563,5,99,,,
563,6,99,,,
564,1,3,3,3,3
564,2,3,3,3,3
564,3,3,3,3,3
564,4,2,15,15,15
564,5,2,3,3,3
564,6,100,,,
567,1,4,3,3,3
567,2,4,15,15,15
567,3,4,12,12,12
567,4,4,12,12,12
567,5,99,,,
567,6,99,,,
574,1,4,6,3,3
574,2,4,6,6,6
574,3,4,6,6,9
574,4,4,15,15,15
574,5,4,6,6,6
574,6,4,15,15,15
576,1,4,3,3,6
576,2,4,6,6,6
576,3,4,9,9,9
576,4,4,9,9,9
576,5,4,9,9,9
576,6,99,,,
585,1,4,6,6,9
585,2,4,9,9,9
585,3,4,6,6,6
585,4,4,12,12,12
585,5,99,,,
585,6,99,,,
587,1,3,12,12,12
587,2,99,,,
587,3,99,,,
587,4,99,,,
587,5,99,,,
587,6,99,,,
594,1,4,15,15,15
594,2,4,3,3,3
594,3,4,6,6,6
594,4,99,,,
594,5,99,,,
594,6,99,,,
603,1,1,6,6,6
603,2,1,6,6,6
603,3,1,6,6,6
603,4,1,3,3,3
603,5,1,15,15,15
603,6,99,,,
609,1,4,9,9,9
609,2,4,6,6,6
609,3,4,3,3,3
609,4,4,12,12,15
609,5,99,,,
609,6,99,,,
615,1,2,6,6,6
615,2,2,12,12,12
615,3,2,15,15,15
615,4,2,15,15,15
615,5,100,,,
615,6,100,,,
617,1,3,12,12,12
617,2,3,12,12,12
617,3,3,6,6,9
617,4,3,15,15,18
617,5,3,9,9,12
617,6,3,3,3,3
624,1,4,15,15,15
624,2,4,9,9,9
624,3,4,12,9,9
624,4,4,15,15,15
624,5,4,9,9,9
624,6,99,,,
625,1,2,3,3,3
625,2,2,3,3,3
625,3,2,3,3,3
625,4,2,15,12,15
625,5,2,12,12,12
625,6,99,,,
628,1,3,12,12,12
628,2,3,12,12,12
628,3,3,9,6,6
628,4,99,,,
628,5,99,,,
628,6,99,,,
631,1,1,9,9,9
631,2,1,3,3,3
631,3,1,15,15,18
631,4,1,3,3,3
631,5,99,,,
631,6,99,,,
633,1,1,3,3,3
633,2,1,9,9,12
633,3,1,6,6,9
633,4,1,9,9,9
633,5,1,9,6,9
633,6,99,,,
639,1,2,9,9,9
639,2,2,15,15,18
639,3,2,6,6,6
639,4,2,6,6,6
639,5,2,12,12,12
639,6,2,3,3,3
650,1,4,12,12,12
650,2,4,3,3,6
650,3,4,9,9,9
650,4,4,15,15,15
650,5,4,15,15,15
650,6,99,,,
655,1,1,3,3,3
655,2,1,15,15,15
655,3,1,15,15,18
655,4,99,,,
655,5,99,,,
655,6,99,,,
656,1,4,6,6,6
656,2,4,3,3,3
656,3,100,,,
656,4,100,,,
656,5,100,,,
656,6,100,,,
667,1,1,15,15,15
667,2,1,9,9,9
667,3,99,,,
667,4,99,,,
667,5,99,,,
667,6,99,,,
668,1,2,18,18,18
668,2,2,18,18,18
668,3,101,,,
668,4,101,,,
668,5,101,,,
668,6,101,,,
670,1,1,9,9,9
670,2,99,,,
670,3,99,,,
670,4,99,,,
670,5,99,,,
670,6,99,,,
672,1,1,18,18,18
672,2,1,12,6,6
672,3,1,18,18,18
672,4,1,15,15,15
672,5,101,,,
672,6,101,,,
674,1,2,6,6,6
674,2,2,3,3,3
674,3,2,6,6,6
674,4,100,,,
674,5,100,,,
674,6,100,,,
680,1,4,3,0,0
680,2,99,,,
680,3,99,,,
680,4,99,,,
680,5,99,,,
680,6,99,,,
699,1,2,6,6,9
699,2,2,12,12,15
699,3,2,3,3,3
699,4,99,,,
699,5,99,,,
699,6,99,,,
700,1,1,9,9,9
700,2,1,12,12,12
700,3,1,9,9,12
700,4,1,12,12,15
700,5,1,9,9,9
700,6,99,,,
702,1,4,6,6,6
702,2,4,3,3,3
702,3,4,12,12,12
702,4,4,12,12,12
702,5,4,3,3,3
702,6,99,,,
707,1,1,15,15,18
707,2,1,15,15,15
707,3,1,12,9,9
707,4,1,9,9,9
707,5,99,,,
707,6,99,,,
730,1,2,15,15,15
730,2,2,6,6,6
730,3,99,,,
730,4,99,,,
730,5,99,,,
730,6,99,,,
736,1,2,12,12,12
736,2,2,9,9,9
736,3,99,,,
736,4,99,,,
736,5,99,,,
736,6,99,,,
740,1,2,15,15,15
740,2,2,3,3,3
740,3,2,9,9,9
740,4,99,,,
740,5,99,,,
740,6,99,,,
743,1,3,18,15,18
743,2,3,18,18,18
743,3,3,18,18,18
743,4,101,,,
743,5,101,,,
743,6,101,,,
746,1,2,3,3,3
746,2,2,15,15,15
746,3,2,15,15,15
746,4,2,3,3,3
746,5,99,,,
746,6,99,,,
755,1,2,9,9,9
755,2,2,9,9,9
755,3,2,12,12,12
755,4,2,6,6,6
755,5,2,6,6,9
755,6,99,,,
763,1,1,6,6,9
763,2,1,15,15,15
763,3,1,3,3,3
763,4,1,3,3,3
763,5,1,15,15,15
763,6,99,,,
764,1,2,12,12,12
764,2,2,12,12,12
764,3,2,12,12,12
764,4,99,,,
764,5,99,,,
764,6,99,,,
769,1,3,3,3,3
769,2,3,6,6,6
769,3,3,12,12,15
769,4,3,6,6,6
769,5,99,,,
769,6,99,,,
773,1,2,9,6,6
773,2,2,3,3,6
773,3,2,15,15,15
773,4,2,3,3,6
773,5,99,,,
773,6,99,,,
775,1,2,15,15,18
775,2,2,12,12,12
775,3,2,9,9,9
775,4,2,3,3,6
775,5,100,,,
775,6,100,,,
776,1,2,6,6,6
776,2,2,6,6,6
776,3,2,15,15,15
776,4,2,12,12,12
776,5,2,9,9,9
776,6,99,,,
777,1,4,3,0,0
777,2,4,9,6,6
777,3,4,15,15,15
777,4,4,6,6,6
777,5,100,,,
777,6,100,,,
784,1,3,9,9,9
784,2,3,3,3,3
784,3,3,6,6,6
784,4,3,3,3,3
784,5,99,,,
784,6,99,,,
796,1,1,9,9,9
796,2,1,15,15,15
796,3,1,6,6,6
796,4,1,9,9,9
796,5,99,,,
796,6,99,,,
804,1,4,12,12,12
804,2,4,6,6,6
804,3,4,12,12,12
804,4,4,9,9,9
804,5,4,3,3,6
804,6,4,6,6,6
810,1,2,18,18,18
810,2,2,18,18,18
810,3,2,15,15,15
810,4,2,12,12,12
810,5,101,,,
810,6,101,,,
811,1,2,6,6,6
811,2,2,15,15,15
811,3,99,,,
811,4,99,,,
811,5,99,,,
811,6,99,,,
821,1,3,9,9,12
821,2,3,9,9,9
821,3,3,15,15,15
821,4,3,9,9,12
821,5,100,,,
821,6,100,,,
839,1,3,9,6,6
839,2,3,15,15,15
839,3,3,15,15,15
839,4,100,,,
839,5,100,,,
839,6,100,,,
843,1,1,12,12,12
843,2,1,15,15,15
843,3,1,6,6,6
843,4,1,9,9,9
843,5,1,6,6,6
843,6,99,,,
844,1,2,15,15,18
844,2,2,12,12,12
844,3,2,6,6,6
844,4,2,3,3,3
844,5,99,,,
844,6,99,,,
847,1,3,3,3,3
847,2,3,6,6,9
847,3,3,12,12,12
847,4,2,3,3,3
847,5,2,9,9,9
847,6,99,,,
851,1,2,6,6,6
851,2,2,6,6,6
851,3,2,6,6,6
851,4,99,,,
851,5,99,,,
851,6,99,,,
861,1,3,15,15,18
861,2,3,12,12,12
861,3,3,12,12,12
861,4,2,6,6,6
861,5,2,6,6,6
861,6,2,15,15,15
866,1,4,12,12,12
866,2,4,12,12,12
866,3,99,,,
866,4,99,,,
866,5,99,,,
866,6,99,,,
886,1,4,6,6,6
886,2,4,15,12,12
886,3,4,6,6,6
886,4,99,,,
886,5,99,,,
886,6,99,,,
888,1,2,12,12,12
888,2,2,3,3,6
888,3,2,3,3,3
888,4,2,9,9,9
888,5,100,,,
888,6,100,,,
890,1,2,12,12,12
890,2,2,9,9,9
890,3,2,15,15,15
890,4,2,12,12,15
890,5,2,12,12,15
890,6,101,,,
893,1,4,9,9,9
893,2,99,,,
893,3,99,,,
893,4,99,,,
893,5,99,,,
893,6,99,,,
899,1,3,9,9,9
899,2,3,3,3,3
899,3,99,,,
899,4,99,,,
899,5,99,,,
899,6,99,,,
901,1,2,15,15,15
901,2,2,6,6,6
901,3,2,6,6,6
901,4,2,12,12,12
901,5,2,3,3,3
901,6,99,,,
905,1,3,18,18,18
905,2,3,12,12,12
905,3,3,12,12,12
905,4,3,15,15,18
905,5,3,12,9,9
905,6,101,,,
920,1,1,9,9,9
920,2,1,15,15,15
920,3,100,,,
920,4,100,,,
920,5,100,,,
920,6,100,,,
923,1,3,15,15,15
923,2,99,,,
923,3,99,,,
923,4,99,,,
923,5,99,,,
923,6,99,,,
928,1,1,6,6,6
928,2,1,15,15,15
928,3,1,3,3,6
928,4,1,12,12,12
928,5,1,9,9,9
928,6,99,,,
933,1,2,6,6,6
933,2,2,12,12,15
933,3,2,6,3,3
933,4,2,12,12,12
933,5,100,,,
933,6,100,,,
935,1,3,15,15,15
935,2,3,9,9,9
935,3,3,3,3,6
935,4,3,9,9,9
935,5,3,15,15,15
935,6,99,,,
942,1,4,12,12,12
942,2,4,6,6,6
942,3,4,9,9,9
942,4,4,12,12,12
942,5,4,6,3,6
942,6,99,,,
944,1,2,15,15,18
944,2,2,3,3,3
944,3,2,3,3,3
944,4,2,6,6,6
944,5,99,,,
944,6,99,,,
950,1,4,3,3,3
950,2,4,3,3,3
950,3,4,3,3,3
950,4,4,6,6,9
950,5,4,9,9,9
950,6,99,,,
955,1,1,9,9,9
955,2,1,15,15,18
955,3,1,12,12,12
955,4,99,,,
955,5,99,,,
955,6,99,,,
966,1,4,9,9,9
966,2,4,3,3,3
966,3,4,15,15,15
966,4,4,6,6,6
966,5,100,,,
966,6,100,,,
993,1,1,12,12,12
993,2,1,3,3,3
993,3,1,15,15,15
993,4,1,6,6,6
993,5,1,9,9,9
993,6,99,,,
1001,1,2,3,0,3
1001,2,2,15,15,15
1001,3,2,12,12,12
1001,4,99,,,
1001,5,99,,,
1001,6,99,,,
1002,1,2,9,9,9
1002,2,100,,,
1002,3,100,,,
1002,4,100,,,
1002,5,100,,,
1002,6,100,,,
1005,1,3,9,9,9
1005,2,3,6,6,6
1005,3,3,3,3,6
1005,4,99,,,
1005,5,99,,,
1005,6,99,,,
1015,1,1,15,12,12
1015,2,1,9,9,9
1015,3,1,12,12,12
1015,4,1,15,15,15
1015,5,1,3,3,3
1015,6,99,,,
1018,1,4,3,3,6
1018,2,4,15,15,15
1018,3,100,,,
1018,4,100,,,
1018,5,100,,,
1018,6,100,,,
1027,1,2,6,6,9
1027,2,2,3,3,3
1027,3,2,3,0,0
1027,4,2,9,9,12
1027,5,99,,,
1027,6,99,,,
1033,1,1,15,15,15
1033,2,1,9,9,12
1033,3,1,12,12,12
1033,4,1,9,9,9
1033,5,1,3,3,6
1033,6,99,,,
1036,1,1,6,3,3
1036,2,1,9,9,9
1036,3,99,,,
1036,4,99,,,
1036,5,99,,,
1036,6,99,,,
1039,1,4,15,15,15
1039,2,4,9,9,9
1039,3,4,12,12,12
1039,4,4,15,15,15
1039,5,4,3,3,3
1039,6,99,,,
1057,1,4,9,9,9
